departamentos,key_fecha,programatica1_ano,id_detail,pct_cobertura
GUAINIA,1,853,399,0.88
GUAINIA,1,853,400,0.76
GUAINIA,1,853,401,0.48
GUAINIA,1,853,402,0.34
GUAINIA,1,853,403,1.11
GUAINIA,1,853,404,0.95
GUAINIA,1,853,405,1.02
GUAINIA,1,853,406,0.98
GUAINIA,1,853,407,1.09
GUAINIA,1,853,408,0.96
GUAINIA,1,853,409,0.62
GUAINIA,1,853,410,0.62
GUAINIA,1,853,411,0.96
GUAINIA,1,853,412,0.96
GUAINIA,1,853,413,0.98
GUAINIA,1,853,414,0.59
GUAVIARE,1,1516,415,0.8
GUAVIARE,1,1516,416,0.78
GUAVIARE,1,1516,417,0.81
GUAVIARE,1,1516,418,0.8
GUAVIARE,1,1516,419,0.81
GUAVIARE,1,1516,420,0.83
GUAVIARE,1,1516,421,0.8
GUAVIARE,1,1516,422,0.78
GUAVIARE,1,1516,423,0.81
GUAVIARE,1,1516,424,0.46
GUAVIARE,1,1516,425,0.34
GUAVIARE,1,1516,426,0.82
GUAVIARE,1,1516,427,0.84
GUAVIARE,1,1516,428,0.87
GUAVIARE,1,1516,429,0.86
GUAVIARE,1,1516,430,1.11
GUAVIARE,1,1516,431,0.87
GUAVIARE,1,1516,432,0.81
GUAVIARE,1,1516,433,0.81
GUAVIARE,1,1516,434,0.98
GUAVIARE,1,1516,435,0.98
GUAVIARE,1,1516,436,0.98
GUAVIARE,1,1516,437,0.66
HUILA,1,21071,438,0.95
HUILA,1,21071,439,0.94
HUILA,1,21071,440,0.92
HUILA,1,21071,441,0.9
HUILA,1,21071,442,0.92
HUILA,1,21071,443,0.91
HUILA,1,21071,444,0.9
HUILA,1,21071,445,0.91
HUILA,1,21071,446,0.9
HUILA,1,21071,447,0.76
HUILA,1,21071,448,0.57
HUILA,1,21071,449,0.92
HUILA,1,21071,450,0.91
HUILA,1,21071,451,0.91
HUILA,1,21071,452,0.89
HUILA,1,21071,453,0.78
HUILA,1,21071,454,0.91
HUILA,1,21071,455,0.87
HUILA,1,21071,456,0.87
HUILA,1,21071,457,0.9
HUILA,1,21071,458,0.9
HUILA,1,21071,459,0.9
HUILA,1,21071,460,0.8
LA GUAJIRA,1,21108,461,0.87
LA GUAJIRA,1,21108,462,0.78
LA GUAJIRA,1,21108,463,0.91
LA GUAJIRA,1,21108,464,0.8
LA GUAJIRA,1,21108,465,0.92
LA GUAJIRA,1,21108,466,0.83
LA GUAJIRA,1,21108,467,0.8
LA GUAJIRA,1,21108,468,0.79
LA GUAJIRA,1,21108,469,0.75
LA GUAJIRA,1,21108,470,0.71
LA GUAJIRA,1,21108,471,0.44
LA GUAJIRA,1,21108,472,0.87
LA GUAJIRA,1,21108,473,0.78
LA GUAJIRA,1,21108,474,0.89
LA GUAJIRA,1,21108,475,0.88
LA GUAJIRA,1,21108,476,0.56
LA GUAJIRA,1,21108,477,0.82
LA GUAJIRA,1,21108,478,0.66
LA GUAJIRA,1,21108,479,0.66
LA GUAJIRA,1,21108,480,0.78
LA GUAJIRA,1,21108,481,0.78
LA GUAJIRA,1,21108,482,0.78
LA GUAJIRA,1,21108,483,0.61
MAGDALENA,1,18085,484,0.74
MAGDALENA,1,18085,485,0.72
MAGDALENA,1,18085,486,0.9
MAGDALENA,1,18085,487,0.9
MAGDALENA,1,18085,488,0.9
MAGDALENA,1,18085,489,0.91
MAGDALENA,1,18085,490,0.9
MAGDALENA,1,18085,491,0.88
MAGDALENA,1,18085,492,0.89
MAGDALENA,1,18085,493,0.67
MAGDALENA,1,18085,494,0.47
MAGDALENA,1,18085,495,0.9
MAGDALENA,1,18085,496,0.91
MAGDALENA,1,18085,497,0.95
MAGDALENA,1,18085,498,0.93
MAGDALENA,1,18085,499,0.81
MAGDALENA,1,18085,500,0.94
MAGDALENA,1,18085,501,0.93
MAGDALENA,1,18085,502,0.93
MAGDALENA,1,18085,503,0.96
MAGDALENA,1,18085,504,0.96
MAGDALENA,1,18085,505,0.97
MAGDALENA,1,18085,506,0.68
SANTA MARTA,1,9036,507,1.03
SANTA MARTA,1,9036,508,1.02
SANTA MARTA,1,9036,509,0.96
SANTA MARTA,1,9036,510,0.87
SANTA MARTA,1,9036,511,0.96
SANTA MARTA,1,9036,512,0.93
SANTA MARTA,1,9036,513,0.87
SANTA MARTA,1,9036,514,0.91
SANTA MARTA,1,9036,515,0.89
SANTA MARTA,1,9036,516,0.82
SANTA MARTA,1,9036,517,0.55
SANTA MARTA,1,9036,518,0.95
SANTA MARTA,1,9036,519,0.91
SANTA MARTA,1,9036,520,0.93
SANTA MARTA,1,9036,521,0.89
SANTA MARTA,1,9036,522,0.62
SANTA MARTA,1,9036,523,0.89
SANTA MARTA,1,9036,524,0.83
SANTA MARTA,1,9036,525,0.84
SANTA MARTA,1,9036,526,0.81
SANTA MARTA,1,9036,527,0.81
SANTA MARTA,1,9036,528,0.81
SANTA MARTA,1,9036,529,0.73
META,1,16994,530,0.93
META,1,16994,531,0.9
META,1,16994,532,0.91
META,1,16994,533,0.88
META,1,16994,534,0.91
META,1,16994,535,0.9
META,1,16994,536,0.88
META,1,16994,537,0.87
META,1,16994,538,0.87
META,1,16994,539,0.63
META,1,16994,540,0.48
META,1,16994,541,0.87
META,1,16994,542,0.84
META,1,16994,543,0.93
META,1,16994,544,0.9
META,1,16994,545,1.12
META,1,16994,546,0.81
META,1,16994,547,0.85
